model,pr_auc,precision,recall,f1,recall_at_precision_90,recall_at_precision_50
XGBoost (supervised),0.9999,0.9991,0.9955,0.9973,0.9998,1.0
IsolationForest (unsupervised),0.0895,0.0968,0.3817,0.1544,0.0002,0.0028
